winner,loser,game_id,url,date,home_won
UNC,UNC Wilmington,0,https://www.sports-reference.com/cbb/boxscores/2022-11-07-21-north-carolina.html,2022-11-07,1
Gonzaga,North Florida,1,https://www.sports-reference.com/cbb/boxscores/2022-11-07-21-gonzaga.html,2022-11-07,1
Houston,Northern Colorado,2,https://www.sports-reference.com/cbb/boxscores/2022-11-07-20-houston.html,2022-11-07,1
Kentucky,Howard,3,https://www.sports-reference.com/cbb/boxscores/2022-11-07-18-kentucky.html,2022-11-07,1
Baylor,Mississippi Valley State,4,https://www.sports-reference.com/cbb/boxscores/2022-11-07-12-baylor.html,2022-11-07,1
Kansas,Omaha,5,https://www.sports-reference.com/cbb/boxscores/2022-11-07-20-kansas.html,2022-11-07,1
Duke,Jacksonville,6,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-duke.html,2022-11-07,1
UCLA,Sacramento State,7,https://www.sports-reference.com/cbb/boxscores/2022-11-07-23-ucla.html,2022-11-07,1
Creighton,St. Thomas,8,https://www.sports-reference.com/cbb/boxscores/2022-11-07-20-creighton.html,2022-11-07,1
Arkansas,North Dakota State,9,https://www.sports-reference.com/cbb/boxscores/2022-11-07-20-arkansas.html,2022-11-07,1
Tennessee,Tennessee Tech,10,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-tennessee.html,2022-11-07,1
Texas,UTEP,11,https://www.sports-reference.com/cbb/boxscores/2022-11-07-21-texas.html,2022-11-07,1
Indiana,Morehead State,12,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-indiana.html,2022-11-07,1
TCU,Arkansas-Pine Bluff,13,https://www.sports-reference.com/cbb/boxscores/2022-11-07-20-texas-christian.html,2022-11-07,1
Auburn,George Mason,14,https://www.sports-reference.com/cbb/boxscores/2022-11-07-20-auburn.html,2022-11-07,1
Villanova,La Salle,15,https://www.sports-reference.com/cbb/boxscores/2022-11-07-18-villanova.html,2022-11-07,1
Arizona,Nicholls State,16,https://www.sports-reference.com/cbb/boxscores/2022-11-07-21-arizona.html,2022-11-07,1
Virginia,North Carolina Central,17,https://www.sports-reference.com/cbb/boxscores/2022-11-07-21-virginia.html,2022-11-07,1
San Diego State,Cal State Fullerton,18,https://www.sports-reference.com/cbb/boxscores/2022-11-07-03-san-diego-state.html,2022-11-07,1
Alabama,Longwood,19,https://www.sports-reference.com/cbb/boxscores/2022-11-07-20-alabama.html,2022-11-07,1
Oregon,Florida A&M,20,https://www.sports-reference.com/cbb/boxscores/2022-11-07-17-oregon.html,2022-11-07,1
Michigan,Purdue-Fort Wayne,21,https://www.sports-reference.com/cbb/boxscores/2022-11-07-18-michigan.html,2022-11-07,1
Illinois,Eastern Illinois,22,https://www.sports-reference.com/cbb/boxscores/2022-11-07-21-illinois.html,2022-11-07,1
Dayton,Lindenwood,23,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-dayton.html,2022-11-07,1
Texas Tech,Northwestern State,24,https://www.sports-reference.com/cbb/boxscores/2022-11-07-21-texas-tech.html,2022-11-07,1
Middle Tennessee,Brescia,25,https://www.sports-reference.com/cbb/boxscores/2022-11-07-12-middle-tennessee.html,2022-11-07,1
Prairie View,Kansas Christian,26,https://www.sports-reference.com/cbb/boxscores/2022-11-07-12-prairie-view.html,2022-11-07,1
Stanford,Pacific,27,https://www.sports-reference.com/cbb/boxscores/2022-11-07-14-stanford.html,2022-11-07,1
James Madison,Valley Forge,28,https://www.sports-reference.com/cbb/boxscores/2022-11-07-16-james-madison.html,2022-11-07,1
